Aaron Jones, Right hand Bat, Legbreak Googly, Top order Batter, United States of America,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/382800/382835.png)"
Md Towhid Hridoy, Right hand Bat, Top order Batter, Right arm Offbreak, Bangladesh,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/380200/380236.png)"
Virat Kohli, Right hand Bat, Top order Batter, Right arm Medium, India,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316605.png)"
Harry Cherrington Brook, Right hand Bat, Right arm Medium, Batter, England,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/383100/383145.png)"
Hardik Himanshu Pandya, Right hand Bat, Right arm Medium fast, Allrounder, India,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319900/319938.png)"
Brandon McMullen, Right hand Bat, Batting Allrounder, Right arm Medium, Scotland,"(https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/381900/381996.1.jpg)"
Johnson Charles, Right hand Bat, Wicketkeeper Batter, Wicketkeeper, West Indies,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322000/322008.png)"
Litton Kumer Das, Right hand Bat, Wicketkeeper, Right arm Offbreak, Bangladesh,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/319700/319727.png)"
Shivam Dube, Left hand Bat, Allrounder, Right arm Medium, India,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/383700/383773.png)"
Glenn James Maxwell, Right hand Bat, Right arm Offbreak, Batting Allrounder, Australia,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316657.png)"
Mitchell Ross Marsh, Right hand Bat, Right arm Medium, Allrounder, Australia,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316612.png)"
Henry George Munsey, Left hand Bat, Opening Batter, Right arm Medium fast, Scotland,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/320300/320365.png)"
Aiden Kyle Markram, Right hand Bat, Opening Batter, Right arm Offbreak, South Africa,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322000/322067.png)"
Mohammad Babar Azam, Right hand Bat, Right arm Offbreak, Batter, Pakistan,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/320400/320448.png)"
Sherfane Eviston Rutherford, Left hand Bat, Right arm Fast medium, Middle order Batter, West Indies,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322100/322173.png)"
Reeza Raphael Hendricks, Right hand Bat, Right arm Offbreak, Opening Batter, South Africa,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322000/322071.png)"
Najmul Hossain Shanto, Left hand Bat, Right arm Offbreak, Top order Batter, Bangladesh,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/323100/323155.png)"
Shakib Al Hasan, Left hand Bat, Slow Left arm Orthodox,, Bangladesh,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316500/316581.png)"
Azmatullah Omarzai, Right hand Bat, Right arm Medium fast, Allrounder, Afghanistan,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/383200/383229.png)"
Mohammad Rizwan, Right hand Bat, Right arm Medium,, Pakistan,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/320400/320458.png)"
Jonathan Marc Bairstow, Right hand Bat, Right arm Medium,, England,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/383100/383157.png)"
Shai Diego Hope, Right hand Bat, Wicketkeeper, Wicketkeeper Batter, West Indies,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/320100/320122.png)"
Richard Douglas Berrington, Right hand Bat, Right arm Medium fast,, Scotland,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316500/316587.png)"
Merwe Gerhard Erasmus, Right hand Bat, Right arm Offbreak,, Namibia,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/329700/329755.png)"
Rovman Powell, Right hand Bat, Right arm Medium fast, Middle order Batter, West Indies,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322100/322172.png)"
Nicholas Rasheed Kirton, Left hand Bat,, Batting Allrounder, Canada,"(https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/381700/381798.1.jpg)"
Nitish Roenick Kumar, Right hand Bat, Right arm Offbreak,, United States of America,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/383200/383209.png)"
Sybrand Abraham Engelbrecht, Right hand Bat, Right arm Offbreak, Allrounder, Netherlands,"(https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/381700/381735.jpg)"
Mohammad Mahmudullah, Right hand Bat, Right arm Offbreak,, Bangladesh,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/382800/382810.png)"
Roston Lamar Chase, Right hand Bat, Right arm Offbreak, Allrounder, West Indies,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322000/322039.png)"
Ayaan Khan, Left hand Bat, Slow Left arm Orthodox, Slow Left arm Orthodox, Oman,"(https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/362400/362498.4.jpg)"
Axar Rajeshbhai Patel, Left hand Bat, Slow Left arm Orthodox,, India,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/331100/331164.png)"
Gulbadin Naib, Right hand Bat, Right arm Medium fast,, Afghanistan,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/383200/383231.png)"
